"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX11359353","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","669.69","1","4542416","917568032","45m.t1.R4","WGS","METAGENOMIC","PCR"
"SRX11359352","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","2217.86","1","14402380","2909280760","45m.t1.R3","WGS","METAGENOMIC","PCR"
"SRX11359351","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","1064.38","1","7458918","1506701436","45m.t1.R2","WGS","METAGENOMIC","PCR"
"SRX11359350","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","1537.87","1","9888732","1997523864","45m.t1.R1","WGS","METAGENOMIC","PCR"
"SRX11359349","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","4404.36","1","41771072","8437756544","45m.t0.R3","WGS","METAGENOMIC","PCR"
"SRX11359348","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","3040.45","1","29438265","5946529530","45m.t0.R2","WGS","METAGENOMIC","PCR"
"SRX11359347","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","2967.86","1","29511187","5961259774","45m.t0.R1","WGS","METAGENOMIC","PCR"
"SRX11359346","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","6061.66","1","40584033","8197974666","35m.t2.R4","WGS","METAGENOMIC","PCR"
"SRX11359345","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","1503.12","1","14374253","2903599106","35m.t0.R2","WGS","METAGENOMIC","PCR"
"SRX11359344","Shotgun Sequence of Permafrost Sample","soil metagenome","Illumina HiSeq 2500","USACE ERDC CRREL","SRP327114","Thawing Permafrost Metagenome","SRS9405783","","6621.37","1","65607584","13252731968","35m.t0.R1","WGS","METAGENOMIC","PCR"
